Time,Lat,Long,Bearing,Distance,BearingError,DistanceError
2019-06-10T00:00:00,50.69064,-1.867958,317.3626033,7390.81844,6,9238.52
2019-06-10T00:00:01,50.690596,-1.867911,317.3122381,7391.678547,5,9201.57
2019-06-10T00:00:02,50.690551,-1.867865,317.2769833,7390.718772,5,9229.17
2019-06-10T00:00:03,50.690507,-1.867818,317.2416817,7389.7614,2,9183.03
2019-06-10T00:00:04,50.690462,-1.867771,317.2063334,7388.806432,0,9173.84
2019-06-10T00:00:05,50.690418,-1.867724,317.1709383,7387.85387,1,9155.5
2019-06-10T00:00:06,50.690373,-1.867678,317.1354963,7386.903712,0,9137.19
2019-06-10T00:00:07,50.690329,-1.867631,317.1000072,7385.955961,1,9137.19
2019-06-10T00:00:08,50.690284,-1.867584,317.0644712,7385.010618,1,9164.6
2019-06-10T00:00:09,50.69024,-1.867537,317.028888,7384.067683,1,9201.26
2019-06-10T00:00:10,50.690196,-1.867491,316.9932576,7383.127157,0,9164.45
2019-06-10T00:00:11,50.690151,-1.867444,316.9575799,7382.189041,1,9182.78
2019-06-10T00:00:12,50.690107,-1.867397,316.9218549,7381.253337,1,9164.41
2019-06-10T00:00:13,50.690062,-1.86735,316.8860825,7380.320044,0,9191.91
2019-06-10T00:00:14,50.690018,-1.867304,316.8502626,7379.389166,0,9182.72
2019-06-10T00:00:15,50.689973,-1.867257,316.8143951,7378.4607,1,9173.53
2019-06-10T00:00:16,50.689929,-1.86721,316.7784801,7377.534649,0,9136.84
2019-06-10T00:00:17,50.689884,-1.867164,316.7425173,7376.611013,0,9145.98
2019-06-10T00:00:18,50.68984,-1.867117,316.7065068,7375.689796,0,9127.68
2019-06-10T00:00:19,50.689796,-1.86707,316.6704484,7374.770995,1,9082.05
2019-06-10T00:00:20,50.689751,-1.867023,316.6343422,7373.854613,1,9063.88
2019-06-10T00:00:21,50.689707,-1.866977,316.5981879,7372.94065,1,9072.95
2019-06-10T00:00:22,50.689662,-1.86693,316.5619856,7372.029108,2,9100.16
2019-06-10T00:00:23,50.689618,-1.866883,316.5257352,7371.119986,3,9063.76
2019-06-10T00:00:24,50.689573,-1.866836,316.4894366,7370.213286,0,9045.64
2019-06-10T00:00:25,50.689529,-1.86679,316.4530897,7369.30901,1,9063.73
2019-06-10T00:00:26,50.689484,-1.866743,316.4166945,7368.407158,1,9027.47
2019-06-10T00:00:27,50.68944,-1.866696,316.3802508,7367.507729,0,9063.58
2019-06-10T00:00:28,50.689396,-1.866649,316.3437587,7366.610728,0,9018.26
2019-06-10T00:00:29,50.689351,-1.866603,316.3072181,7365.716152,0,8973.17
2019-06-10T00:00:30,50.689307,-1.866556,316.2706288,7364.824003,1,9009.07
2019-06-10T00:00:31,50.689262,-1.866509,316.2339908,7363.934282,2,9009.07
2019-06-10T00:00:32,50.689218,-1.866462,316.197304,7363.046991,3,9027.08
2019-06-10T00:00:33,50.689173,-1.866416,316.1605684,7362.162131,3,9045.14
2019-06-10T00:00:34,50.689129,-1.866369,316.1237839,7361.2797,2,8999.91
2019-06-10T00:00:35,50.689084,-1.866322,316.0869504,7360.399702,1,8972.91
2019-06-10T00:00:36,50.68904,-1.866276,316.0500678,7359.522137,2,9008.8
2019-06-10T00:00:37,50.688996,-1.866229,316.0131361,7358.647004,3,8963.76
2019-06-10T00:00:38,50.688951,-1.866182,315.9761552,7357.774306,2,8963.76
2019-06-10T00:00:39,50.688907,-1.866135,315.939125,7356.904044,2,8936.87
2019-06-10T00:00:40,50.688862,-1.866089,315.9020455,7356.036218,0,8954.74
2019-06-10T00:00:41,50.688818,-1.866042,315.8649165,7355.170828,0,8972.65
2019-06-10T00:00:42,50.688773,-1.865995,315.8277381,7354.307876,1,8990.6
2019-06-10T00:00:43,50.688729,-1.865948,315.79051,7353.447363,0,8945.64
2019-06-10T00:00:44,50.688684,-1.865902,315.7532324,7352.58929,0,8963.54
2019-06-10T00:00:45,50.68864,-1.865855,315.715905,7351.733658,0,8963.54
2019-06-10T00:00:46,50.688596,-1.865808,315.6785279,7350.880465,0,8954.57
2019-06-10T00:00:47,50.688551,-1.865761,315.6411009,7350.029716,1,8936.66
2019-06-10T00:00:48,50.688507,-1.865715,315.6036239,7349.181409,0,8963.47
2019-06-10T00:00:49,50.688462,-1.865668,315.566097,7348.335546,1,8990.36
2019-06-10T00:00:50,50.688418,-1.865621,315.52852,7347.492128,1,8999.35
2019-06-10T00:00:51,50.688373,-1.865575,315.4908928,7346.651156,1,9035.35
2019-06-10T00:00:52,50.688329,-1.865528,315.4532154,7345.812629,1,9008.24
2019-06-10T00:00:53,50.688284,-1.865481,315.4154877,7344.97655,1,9035.27
2019-06-10T00:00:54,50.68824,-1.865434,315.3777097,7344.142919,0,9071.41
2019-06-10T00:00:55,50.688196,-1.865388,315.3398812,7343.311736,0,9080.48
